Symbol,Name,Market Cap,Sector,Industry
DPZ,Domino's Pizza Inc Common Stock,14143586579,Consumer Discretionary,Food Distributors
DXCM,DexCom Inc. Common Stock,26532806984,Health Care,Medical/Dental Instruments
EA,Electronic Arts Inc. Common Stock,50786250960,Consumer Discretionary,Services-Misc. Amusement & Recreation
EBAY,eBay Inc. Common Stock,37412040000,Real Estate,Real Estate
ENSG,The Ensign Group Inc. Common Stock,10042419629,Health Care,Hospital/Nursing Management
ENTG,Entegris Inc. Common Stock,14427014000,Industrials,Plastic Products
EQIX,Equinix Inc. Common Stock REIT,72377867398,Real Estate,Real Estate Investment Trusts
ERIE,Erie Indemnity Company Class A Common Stock,12775675494,Finance,Specialty Insurers
EVRG,Evergy Inc. Common Stock,16920739584,Utilities,Power Generation
EWBC,East West Bancorp Inc. Common Stock,15790974942,Finance,Major Banks
EXAS,Exact Sciences Corporation Common Stock,19188705705,Health Care,Medical Specialities
EXC,Exelon Corporation Common Stock,43836496811,Utilities,Power Generation
EXE,Expand Energy Corporation Common Stock,27812266367,Energy,Oil & Gas Production
EXEEL,Expand Energy Corporation Class C Warrants,25612769215,Energy,Oil & Gas Production
EXEL,Exelixis Inc. Common Stock,11074372645,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
EXPE,Expedia Group Inc. Common Stock,33574521773,Consumer Discretionary,Transportation Services
FANG,Diamondback Energy Inc. Common Stock,45881346570,Energy,Oil & Gas Production
FAST,Fastenal Company Common Stock,46971881525,Consumer Discretionary,RETAIL: Building Materials
FCNCA,First Citizens BancShares Inc. Class A Common Stock,25589257128,Finance,Major Banks
FFIV,F5 Inc. Common Stock,14998447887,Telecommunications,Computer Communications Equipment
FISV,Fiserv Inc. Common Stock,35704006674,Real Estate,Real Estate
FITB,Fifth Third Bancorp Common Stock,31401364086,Finance,Major Banks
FITBI,Fifth Third Bancorp Depositary Shares,17060713758,Finance,Major Banks
FOX,Fox Corporation Class B Common Stock,28163726220,Industrials,Broadcasting
FOXA,Fox Corporation Class A Common Stock,31855109945,Industrials,Broadcasting
FSLR,First Solar Inc. Common Stock,28139413814,Technology,Semiconductors
FTAI,FTAI Aviation Ltd. Common Stock,18679555372,Industrials,Misc Corporate Leasing Services
FTNT,Fortinet Inc. Common Stock,60934525478,Technology,Computer peripheral equipment
FWONA,Liberty Media Corporation Series A Liberty Formula One Common Stock,21262111772,Industrials,Broadcasting
FWONK,Liberty Media Corporation Series C Liberty Formula One Common Stock,23057501194,Industrials,Broadcasting
GEHC,GE HealthCare Technologies Inc. Common Stock ,38428257023,Health Care,Medical Electronics
GEN,Gen Digital Inc. Common Stock,16984361587,Technology,Computer Software: Prepackaged Software
GFS,GlobalFoundries Inc. Ordinary Shares,22381911075,Technology,Semiconductors
GH,Guardant Health Inc. Common Stock,13001138330,Health Care,Medical Specialities
GILD,Gilead Sciences Inc. Common Stock,1.50482E+11,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
GLPI,Gaming and Leisure Properties Inc. Common Stock,11787297444,Real Estate,Real Estate Investment Trusts
GLXY,Galaxy Digital Inc. Class A Common Stock,11616751214,Finance,Investment Bankers/Brokers/Service
GOOG,Alphabet Inc. Class C Capital Stock,3.88159E+12,Technology,Computer Software: Programming Data Processing
GOOGL,Alphabet Inc. Class A Common Stock,3.87489E+12,Technology,Computer Software: Programming Data Processing
HAS,Hasbro Inc. Common Stock,11555350474,Consumer Discretionary,Recreational Games/Products/Toys
HBAN,Huntington Bancshares Incorporated Common Stock,27535433113,Finance,Major Banks
HOLX,Hologic Inc. Common Stock,16702288734,Health Care,Medical Electronics
HON,Honeywell International Inc. Common Stock,1.21867E+11,Industrials,Aerospace
HOOD,Robinhood Markets Inc. Class A Common Stock,1.22955E+11,Finance,Investment Bankers/Brokers/Service
HST,Host Hotels & Resorts Inc. Common Stock,12326833947,Real Estate,Real Estate Investment Trusts
IBKR,Interactive Brokers Group Inc. Class A Common Stock,29772591221,Finance,Investment Bankers/Brokers/Service
IDXX,IDEXX Laboratories Inc. Common Stock,55962207604,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ILMN,Illumina Inc. Common Stock,20655504000,Health Care,Medical Specialities
INCY,Incyte Corp. Common Stock,18742928455,Health Care,Biotechnology: Commercial Physical & Biological Resarch
INSM,Insmed Incorporated Common Stock,40530490049,Health Care,Biotechnology: Pharmaceutical Preparations
INTC,Intel Corporation Common Stock,1.78669E+11,Technology,Semiconductors
INTU,Intuit Inc. Common Stock,1.838E+11,Technology,Computer Software: Prepackaged Software
IONS,Ionis Pharmaceuticals Inc. Common Stock,12794357303,Health Care,Biotechnology: Pharmaceutical Preparations
ISRG,Intuitive Surgical Inc. Common Stock,1.97266E+11,Health Care,Industrial Specialties
JBHT,J.B. Hunt Transport Services Inc. Common Stock,18885130654,Industrials,Trucking Freight/Courier Services
JKHY,Jack Henry & Associates Inc. Common Stock,13407139932,Technology,EDP Services
KDP,Keurig Dr Pepper Inc. Common Stock,40118959681,Consumer Staples,Beverages (Production/Distribution)
KHC,The Kraft Heinz Company Common Stock,28863441294,Consumer Staples,Packaged Foods
KLAC,KLA Corporation Common Stock,1.63049E+11,Technology,Electronic Components
KMB,Kimberly-Clark Corporation Common Stock,34164824442,Consumer Discretionary,Containers/Packaging
KTOS,Kratos Defense & Security Solutions Inc. Common Stock,13076712835,Industrials,Military/Government/Technical
LAMR,Lamar Advertising Company Class A Common Stock,13171942844,Real Estate,Real Estate Investment Trusts
LECO,Lincoln Electric Holdings Inc. Common Shares,13604121492,Industrials,Industrial Machinery/Components
LIN,Linde plc Ordinary Shares,1.83294E+11,Basic Materials,Major Chemicals
LITE,Lumentum Holdings Inc. Common Stock,26184079000,Telecommunications,Telecommunications Equipment
LNT,Alliant Energy Corporation Common Stock,16646796900,Utilities,Power Generation
LOGI,Logitech International S.A. Ordinary Shares,17722782771,Technology,Computer peripheral equipment
LPLA,LPL Financial Holdings Inc. Common Stock,30968156704,Finance,Investment Bankers/Brokers/Service
LRCX,Lam Research Corporation Common Stock,2.12206E+11,Technology,Industrial Machinery/Components
LSCC,Lattice Semiconductor Corporation Common Stock,10751410568,Technology,Semiconductors
MANH,Manhattan Associates Inc. Common Stock,10504820200,Technology,Computer Software: Prepackaged Software
MAR,Marriott International Class A Common Stock,76979395914,Consumer Discretionary,Hotels/Resorts
MCHP,Microchip Technology Incorporated Common Stock,36847665142,Technology,Semiconductors
MDB,MongoDB Inc. Class A Common Stock,34674110636,Technology,Computer Software: Prepackaged Software
MDGL,Madrigal Pharmaceuticals Inc. Common Stock,12547718879,Health Care,Biotechnology: Pharmaceutical Preparations
MDLZ,Mondelez International Inc. Class A Common Stock,69285799228,Consumer Staples,Packaged Foods
MEDP,Medpace Holdings Inc. Common Stock,15786035534,Health Care,Biotechnology: Commercial Physical & Biological Resarch
META,Meta Platforms Inc. Class A Common Stock,1.63943E+12,Technology,Computer Software: Programming Data Processing
MKSI,MKS Inc. Common Stock,11307645101,Industrials,Industrial Machinery/Components
MNST,Monster Beverage Corporation,72162787014,Consumer Staples,Beverages (Production/Distribution)
MPWR,Monolithic Power Systems Inc. Common Stock,47359422990,Technology,Semiconductors
MRNA,Moderna Inc. Common Stock,11314078668,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
MRVL,Marvell Technology Inc. Common Stock,78118491000,Technology,Semiconductors
MSFT,Microsoft Corporation Common Stock,3.5451E+12,Technology,Computer Software: Prepackaged Software
MSTR,Strategy Inc Common Stock Class A,53496644845,Technology,Computer Software: Prepackaged Software
MTSI,MACOM Technology Solutions Holdings Inc. Common Stock,13994482971,Technology,Semiconductors
MU,Micron Technology Inc. Common Stock,2.96084E+11,Technology,Semiconductors
NBIX,Neurocrine Biosciences Inc. Common Stock,15481303728,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NDAQ,Nasdaq Inc. Common Stock,52405960841,Finance,Investment Bankers/Brokers/Service
NDSN,Nordson Corporation Common Stock,13265867070,Industrials,Industrial Machinery/Components
NFLX,Netflix Inc. Common Stock,3.9244E+11,Consumer Discretionary,Consumer Electronics/Video Chains
NTAP,NetApp Inc. Common Stock,23600871068,Technology,Electronic Components
NTNX,Nutanix Inc. Class A Common Stock,12949452360,Technology,Computer Software: Prepackaged Software
NTRA,Natera Inc. Common Stock,32093883691,Health Care,Medical Specialities
NTRS,Northern Trust Corporation Common Stock,25972433872,Finance,Major Banks
NVDA,NVIDIA Corporation Common Stock,4.46768E+12,Technology,Semiconductors
NWS,News Corporation Class B Common Stock,16578559839,Consumer Discretionary,Newspapers/Magazines
NWSA,News Corporation Class A Common Stock,14669428477,Consumer Discretionary,Newspapers/Magazines
NXT,Nextpower Inc. Class A Common Stock,13391906895,Industrials,Industrial Machinery/Components
ODFL,Old Dominion Freight Line Inc. Common Stock,32878638548,Industrials,Trucking Freight/Courier Services
OKTA,Okta Inc. Class A Common Stock,15910843090,Technology,Computer Software: Prepackaged Software
ON,ON Semiconductor Corporation Common Stock,22283716457,Technology,Semiconductors
ORLY,O'Reilly Automotive Inc. Common Stock,78965937807,Consumer Discretionary,Auto & Home Supply Stores
PAA,Plains All American Pipeline L.P. Common Units representing Limited Partner Interests,12399123308,Energy,Natural Gas Distribution
PANW,Palo Alto Networks Inc. Common Stock,1.34699E+11,Technology,Computer peripheral equipment
PAYX,Paychex Inc. Common Stock,40671637100,Industrials,Diversified Commercial Services
PCAR,PACCAR Inc. Common Stock,59705231531,Consumer Discretionary,Motor Vehicles
